,Ref ID,Operator (or Applicant),Site Name,Technology Type,Installed Capacity (MWelec),Development Status (short),County,Region,Country,X-coordinate,Y-coordinate,Planning Permission Granted,Under Construction,Operational
2054,2527,Red Rock Power (ICOL),Inch Cape,Wind Offshore,1080,Awaiting Construction,Offshore,Offshore,Scotland,387786,734231,16/05/2017,,
2055,2528,Catapult,Levenmouth demonstration turbine (Fife Energy Park),Wind Offshore,7,Operational,Offshore,Offshore,Scotland,340600,696860,18/11/2011,08/10/2013,31/03/2014
2056,2532,Innogy,Triton Knoll ,Wind Offshore,857,Operational,Offshore,Offshore,England,591183,372179,11/07/2013,10/09/2018,13/01/2022
2057,2533,Orsted (formerly Dong Energy),Walney 3,Wind Offshore,659,Operational,Offshore,Offshore,England,286289,467410,07/11/2014,01/04/2017,13/09/2018
2058,2534,"Diamond Green Limited, CTG & Ocean Winds",Moray East,Wind Offshore,950,Operational,Offshore,Offshore,Scotland,353328,897834,19/03/2014,06/06/2019,01/04/2022
2059,2535,Eneco & EDF,Navitus Bay,Wind Offshore,970,Application Refused,Offshore,Offshore,England,411540,54803,,,
2060,2538,Statoil / Statkraft,Dudgeon East ,Wind Offshore,402,Operational,Offshore,Offshore,England,575000,361000,06/07/2012,17/03/2016,15/10/2017
2061,2539,Orsted (formerly Dong Energy),Burbo Bank Extension (Burbo Bank 2),Wind Offshore,258,Operational,Offshore,Offshore,England,315815,398892,10/12/2014,10/06/2016,27/04/2017
2062,2540,SSE / Seagreen Wind Energy Ltd,Seagreen,Wind Offshore,1075,Operational,Offshore,Offshore,Scotland,404600,749300,16/05/2017,01/05/2021,16/10/2023
2063,2541,"SSE/Equinor (formerly Statoil, formerly Forewind)",Dogger Bank A & B (was Creyke Beck A & B),Wind Offshore,2400,Under Construction,Offshore,Offshore,England,629000,681000,17/02/2015,01/07/2021,
2064,2543,RWE,Gwynt y Mor ,Wind Offshore,576,Operational,Offshore,Offshore,Wales,292082,396482,03/12/2008,01/03/2012,18/06/2015
2065,2544,E.ON Humber Wind Ltd/ Balfour Beatty Investments and Equitix.,Humber Gateway A,Wind Offshore,219,Operational,Offshore,Offshore,England,566400,390760,09/02/2011,30/08/2013,30/05/2015
2066,2545,Orsted (formerly Dong Energy),Westermost Rough A,Wind Offshore,210,Operational,Offshore,Offshore,England,571600,358680,29/11/2011,28/02/2014,26/05/2015
2067,2546,Orsted (formerly Dong Energy),Barrow ,Wind Offshore,90,Operational,Offshore,Offshore,England,314978,455827,12/03/2003,01/05/2005,01/04/2006
4714,5863,Cierco,Forthwind,Wind Offshore,,Revised,Offshore,Offshore,Scotland,338141,696278,21/12/2016,,
4717,5867,Scottish Power Renewables,East Anglia 2 (EA 2),Wind Offshore,900,Awaiting Construction,Offshore,Offshore,England,681603,321858,31/03/2022,,
4893,6136,Grupo Cobra,Kincardine Offshore Windfarm,Wind Offshore,49.5,Operational,Offshore,Offshore,Scotland,407766,789575,07/03/2017,01/10/2018,19/10/2021
4902,6158,EDPR,Moray West Offshore Wind Farm Project,Wind Offshore,882,Under Construction,Offshore,Offshore,Scotland,322637,909733,14/06/2019,01/05/2022,
4976,6264,Hexicon AB/ Dounreay Tri,Dounreay Trì Floating Wind Demonstration,Wind Offshore,10,Under Construction,Offshore,Offshore,Scotland,291337,980477,16/03/2017,31/03/2017,
4993,6299,Vattenfall,Thanet (extension),Wind Offshore,340,Application Refused,Offshore,Offshore,England,649878,175192,,,
5071,6483,RWE Renewables UK Limited,The East Anglia Array - Norfolk Boreas,Wind Offshore,1400,Awaiting Construction,Offshore,Offshore,England,708047,312194,10/12/2021,,
5083,6501,Orsted (formerly Dong Energy)/ Macquarie Group,Race Bank (Phase 2),Wind Offshore,283.5,Operational,Offshore,Offshore,England,573300,363000,,07/07/2016,01/02/2018
5109,6556,RWE Renewables UK Limited,Sofia (Teesside B),Wind Offshore,1400,Under Construction,Offshore,Offshore,England,675550,599192,05/08/2015,01/03/2022,
5239,6810,Hexicon,TwinHub (previously called Wave Hub Floating Wind),Wind Offshore,32,Awaiting Construction,Offshore,Offshore,England,155246,38189,12/01/2022,,
5855,7691,Equinor,Sheringham Extension Project,Wind Offshore,317,Awaiting Construction,Offshore,Offshore,England,613032,366092,18/04/2024,,
5856,7692,Equinor,Dudgeon Extension Project,Wind Offshore,402,Awaiting Construction,Offshore,Offshore,England,613032,366092,18/04/2024,,
5859,7698,RWE Renewables UK Limited,"Rampion Wind Farm (Extension), (Rampion 2)",Wind Offshore,,Application Submitted,Offshore,Offshore,England,528790,83836,,,
5860,7699,RWE Renewables,Awel y Mor Offshore Wind Farm,Wind Offshore,576,Awaiting Construction,Offshore,Offshore,Wales,280451,398028,20/09/2023,,
5967,7861,Simply Blue Energy,Erebus - Floating Offshore Wind Demonstration Project,Wind Offshore,100,Awaiting Construction,Offshore,Offshore,Wales,196768,194102,17/02/2023,,
6894,9803,RWE Renewables,Five Estuaries - Wind Farm,Wind Offshore,300,Application Submitted,Offshore,Offshore,England,630357,234771,,,
6935,9873,Scottish Southern Energy Renewables ,Berwick Bank Offshore Wind Farm ,Wind Offshore,4100,Application Submitted,Offshore,Offshore,Scotland,432997,728012,,,
7338,10772,Total Energies / RIDG,West of Orkney Wind Farm,Wind Offshore,2000,Application Submitted,Offshore,Offshore,Scotland,289696,998864,,,
7421,10913,RWE Generation UK Plc / SSE Renewables (Ireland) ,North Falls Offshore Wind Farm,Wind Offshore,,Application Submitted,Offshore,Offshore,England,,,,,
7426,10918,BP Oil UK Limited / ENBW UK Limited,Mona Offshore Wind Farm,Wind Offshore,1500,Application Submitted,Offshore,Offshore,England,278986,416968,,,
7427,10919,BP Oil UK Limited / ENBW UK Limited,Morgan Offshore Wind Farm,Wind Offshore,1500,Application Submitted,Offshore,Offshore,England,,,,,
7428,10922,Cobra Instalaciones y Servicios S.A / Flotation Energy,Morecombe Offshore Windfarm,Wind Offshore,480,Application Submitted,Offshore,Offshore,England,,,,,
7511,11035,Orsted / Simply Blue Group,Peterhead - The Salamander Project,Wind Offshore,100,Application Submitted,Offshore,Offshore,Scotland,479551,858320,,,
7546,11106,EDF Energy Renewables,Blyth Offshore Wind Farm Phase 2 Demonstrator Project,Wind Offshore,58.4,Awaiting Construction,Offshore,Offshore,England,440591,586033,09/09/2022,,
7548,11109,RWE Renewables UK Limited / Masdar,Dogger Bank South East & South West,Wind Offshore,3000,Application Submitted,Offshore,Offshore,England,,,,,
7885,11663,Green Investment Group / Total Energies,Outer Dowsing Offshore Wind Farm,Wind Offshore,1500,Application Submitted,Offshore,Offshore,England,641340,395479,,,
7992,11851,Flotation Energy / Vårgrønn,Green Volt - Offshore Wind Farm,Wind Offshore,560,Awaiting Construction,Offshore,Offshore,Scotland,399571,807062,19/04/2024,,
7993,11852,Flotation Energy / Cobra Instalaciones Servicios,Whitecross - Offshore Wind Farm,Wind Offshore,100,Application Submitted,Offshore,Offshore,England,248194,132186,,,
8090,11989,Highland Wind Limited / Copenhagen Infrastructure Partners / Eurus Energy,Pentland Floating Offshore Wind Farm,Wind Offshore,100,Awaiting Construction,Offshore,Offshore,Scotland,311532,968614,28/06/2023,,
9047,13429,Scottish Power Renewables,Ossian,Wind Offshore,3600,Application Submitted,Offshore,Scotland,Scotland,,,,,
9567,14144,SSE / Seagreen Wind Energy Ltd,Seagreen Phase 1A,Wind Offshore,540,Awaiting Construction,Offshore,Offshore,Scotland,404600,749300,06/12/2019,,
9801,14484,Cierco,Forthwind,Wind Offshore,20,Awaiting Construction,Offshore,Offshore,Scotland,338141,696278,15/03/2023,,
9802,14491,TotalEnergies,Culzean Floating Wind Pilot,Wind Offshore,3,Awaiting Construction,Offshore,Offshore,Scotland,634310,817848,22/08/2024,,
