,Common Name,Settlement BMU ID,REPD ID (New),Unnamed: 0,Ref ID,Operator (or Applicant),Site Name,Technology Type,Installed Capacity (MWelec),Development Status (short),County,Region,Country,X-coordinate,Y-coordinate,Planning Permission Granted,Under Construction,Operational
16,Thanet Offshore Wind Farm,T_THNTO-1,2499,2029,2499,Vattenfall,Thanet,Wind Offshore,300,Operational,Offshore,Offshore,England,652658,176367,18/12/2006,01/11/2009,16/09/2010
16,Thanet Offshore Wind Farm,T_THNTO-2,2499,2029,2499,Vattenfall,Thanet,Wind Offshore,300,Operational,Offshore,Offshore,England,652658,176367,18/12/2006,01/11/2009,16/09/2010
16,Thanet Offshore Wind Farm,E_THNTW-2,2499,2029,2499,Vattenfall,Thanet,Wind Offshore,300,Operational,Offshore,Offshore,England,652658,176367,18/12/2006,01/11/2009,16/09/2010
16,Thanet Offshore Wind Farm,E_THNTW-1,2499,2029,2499,Vattenfall,Thanet,Wind Offshore,300,Operational,Offshore,Offshore,England,652658,176367,18/12/2006,01/11/2009,16/09/2010
17,Walney Offshore Wind Farm,T_WLNYW-1,2533,2057,2533,Orsted (formerly Dong Energy),Walney 3,Wind Offshore,659,Operational,Offshore,Offshore,England,286289,467410,07/11/2014,01/04/2017,13/09/2018
17,Walney Offshore Wind Farm,E_WLNYW-2,2533,2057,2533,Orsted (formerly Dong Energy),Walney 3,Wind Offshore,659,Operational,Offshore,Offshore,England,286289,467410,07/11/2014,01/04/2017,13/09/2018
17,Walney Offshore Wind Farm,T_WLNYO-3,2533,2057,2533,Orsted (formerly Dong Energy),Walney 3,Wind Offshore,659,Operational,Offshore,Offshore,England,286289,467410,07/11/2014,01/04/2017,13/09/2018
17,Walney Offshore Wind Farm,T_WLNYO-4,2533,2057,2533,Orsted (formerly Dong Energy),Walney 3,Wind Offshore,659,Operational,Offshore,Offshore,England,286289,467410,07/11/2014,01/04/2017,13/09/2018
17,Walney Offshore Wind Farm,T_WLNYO-2,2533,2057,2533,Orsted (formerly Dong Energy),Walney 3,Wind Offshore,659,Operational,Offshore,Offshore,England,286289,467410,07/11/2014,01/04/2017,13/09/2018
20,Westermost Rough Wind Farm,T_WTMSO-1,2545,2066,2545,Orsted (formerly Dong Energy),Westermost Rough A,Wind Offshore,210,Operational,Offshore,Offshore,England,571600,358680,29/11/2011,28/02/2014,26/05/2015
20,Westermost Rough Wind Farm,T_WTMSD-1,2545,2066,2545,Orsted (formerly Dong Energy),Westermost Rough A,Wind Offshore,210,Operational,Offshore,Offshore,England,571600,358680,29/11/2011,28/02/2014,26/05/2015
21,West of Duddon Sands Offshore Wind Farm,T_WDNSO-1,2519,2046,2519,Scottish Power Renewables & Orsted (formerly Dong Energy),West of Duddon Sands,Wind Offshore,389,Operational,Offshore,Offshore,England,304230,455334,04/09/2008,21/05/2013,30/10/2014
21,West of Duddon Sands Offshore Wind Farm,T_WDNSO-2,2519,2046,2519,Scottish Power Renewables & Orsted (formerly Dong Energy),West of Duddon Sands,Wind Offshore,389,Operational,Offshore,Offshore,England,304230,455334,04/09/2008,21/05/2013,30/10/2014
21,West of Duddon Sands Offshore Wind Farm,T_WDNSW-1,2519,2046,2519,Scottish Power Renewables & Orsted (formerly Dong Energy),West of Duddon Sands,Wind Offshore,389,Operational,Offshore,Offshore,England,304230,455334,04/09/2008,21/05/2013,30/10/2014
21,West of Duddon Sands Offshore Wind Farm,T_WDNSW-2,2519,2046,2519,Scottish Power Renewables & Orsted (formerly Dong Energy),West of Duddon Sands,Wind Offshore,389,Operational,Offshore,Offshore,England,304230,455334,04/09/2008,21/05/2013,30/10/2014
22,Aberdeen Offshore Wind Farm,T_ABRBO-1,2505,2033,2505,Vattenfall,European Offshore Wind Deployment Centre (EOWDC) (Aberdeen Bay - Demonstration site),Wind Offshore,96.8,Operational,Offshore,Offshore,Scotland,395693,806148,26/03/2013,07/04/2018,07/09/2018
23,Beatrice Offshore Wind Farm,T_BEATO-1,2521,2048,2521,Scottish & Southern Energy (SSE) / Repsol / CIP,Beatrice,Wind Offshore,588,Operational,Offshore,Offshore,Scotland,344074,911416,19/03/2014,02/04/2017,05/08/2019
23,Beatrice Offshore Wind Farm,T_BEATO-2,2521,2048,2521,Scottish & Southern Energy (SSE) / Repsol / CIP,Beatrice,Wind Offshore,588,Operational,Offshore,Offshore,Scotland,344074,911416,19/03/2014,02/04/2017,05/08/2019
23,Beatrice Offshore Wind Farm,T_BEATO-3,2521,2048,2521,Scottish & Southern Energy (SSE) / Repsol / CIP,Beatrice,Wind Offshore,588,Operational,Offshore,Offshore,Scotland,344074,911416,19/03/2014,02/04/2017,05/08/2019
23,Beatrice Offshore Wind Farm,T_BEATO-4,2521,2048,2521,Scottish & Southern Energy (SSE) / Repsol / CIP,Beatrice,Wind Offshore,588,Operational,Offshore,Offshore,Scotland,344074,911416,19/03/2014,02/04/2017,05/08/2019
26,East Anglia,T_EAAO-1,2525,2052,2524,Scottish Power Renewables,East Anglia 1 (EA 1),Wind Offshore,714,Operational,Offshore,Offshore,England,685500,257000,17/06/2014,24/05/2018,28/07/2020
26,East Anglia,T_EAAO-2,2525,2052,2524,Scottish Power Renewables,East Anglia 1 (EA 1),Wind Offshore,714,Operational,Offshore,Offshore,England,685500,257000,17/06/2014,24/05/2018,28/07/2020
28,Hornsea Offshore Wind Farm,T_HOWAO-1,2502,2031,2502,Orsted (formerly Dong Energy),Hornsea 2 - Optimus and Breesea,Wind Offshore,1320,Operational,Offshore,Offshore,England,632326,457349,16/08/2016,01/09/2019,31/08/2022
28,Hornsea Offshore Wind Farm,T_HOWAO-2,2502,2031,2502,Orsted (formerly Dong Energy),Hornsea 2 - Optimus and Breesea,Wind Offshore,1320,Operational,Offshore,Offshore,England,632326,457349,16/08/2016,01/09/2019,31/08/2022
28,Hornsea Offshore Wind Farm,T_HOWAO-3,2502,2031,2502,Orsted (formerly Dong Energy),Hornsea 2 - Optimus and Breesea,Wind Offshore,1320,Operational,Offshore,Offshore,England,632326,457349,16/08/2016,01/09/2019,31/08/2022
31,Triton Knoll Offshore Wind Farm,T_TKNEW-1,2532,2056,2532,Innogy,Triton Knoll,Wind Offshore,857,Operational,Offshore,Offshore,England,591183,372179,11/07/2013,10/09/2018,13/01/2022
31,Triton Knoll Offshore Wind Farm,T_TKNWW-1,2532,2056,2532,Innogy,Triton Knoll,Wind Offshore,857,Operational,Offshore,Offshore,England,591183,372179,11/07/2013,10/09/2018,13/01/2022
